objectID,longitude,latitude,location,waterfront,signname,borough,acres
6,40.76013727,-73.96245931,"E. 59 St., between 1 Ave. and 2 Ave.",N,14 Honey Locusts Park,Manhattan,0.295
11,40.7917536,-73.94547038,E. 105 St. To E. 106 St. between Lexington Ave. and 3 Ave.,N,White Playground,Manhattan,0.684
12,40.76107926,-73.9927469,W. 45 St. Between 9 Ave. and 10 Ave.,N,Matthews - Palmer Playground,Manhattan,0.475
13,40.81015473,-73.94033556,"5 Ave., W. 130 St. To .W 131 St.",N,Courtney Callender Playground,Manhattan,0.653
15,40.83805813,-73.93869677,"W. 165 St., Amsterdam Ave. To Audubon Ave.",N,Mckenna Square,Manhattan,0.24
19,40.74876765,-73.96784736,E. 42 St. between 1 Ave. and FDR,N,Playground,Manhattan,1.369
20,40.83027386,-73.94134871,Corner of W. 155 St. and St. Nicholas Ave.,N, ,Manhattan,0.161
27,40.76168293,-73.97066055,E 46 St To E 59 St & Park Av,N,Park Avenue Malls,Manhattan,0.65
28,40.74713978,-73.98126898,E 34 St To E 39 St & Park Av,N,Park Avenue Malls,Manhattan,1.58
29,40.84326347,-73.94380015,"E/s Riverside Dr, W 168 St To W 177 St",N,Strip,Manhattan,1.494
30,40.72185681,-73.98567581,"Essex St., Norfolk St. and Houston St.",N,ABC Playground,Manhattan,0.451
31,40.79726382,-73.92948917,E. 120 St. and Paladino Ave. (Service Rd To FDR Dr.),N,Strip,Manhattan,0.188
32,40.79870489,-73.92910624,"E. 122 St. To E. 125 St., FDR Dr. To Harlem River Dr.",N,Park,Manhattan,5.2
33,40.76383486,-73.97359448,"5 Av, W 58 St To W 59 St",N,Grand Army Plaza,Manhattan,0.625
35,40.80130019,-73.93049124,"E.125 St., FDR Dr., 1 Ave., Paladino Ave.",N,Louis Cuvillier Park,Manhattan,2.752
36,40.81262386,-73.93920593,"W. 134 St., Lenox Terrace Pl.",N,Hansborough Recreation Center,Manhattan,0.29
37,40.71219812,-73.98810282,Madison St. between Clinton St. and Rutgers St.,N,Little Flower Playground,Manhattan,1.294
38,40.82535683,-73.93708261,"W. 150 St., W/s 7 Ave.",N,Bill Bojangles Robinson Playground,Manhattan,0.172
39,40.8252052,-73.9346646,"Harlem River Dr., W. 151 St. To W. 154 St.",N,Harlem Lane Playground,Manhattan,1.635
76,40.85654746,-73.9361823,Cabrini Blvd. between W. 187 St. and W. 190 St.,N,P.s./I.S. 187,Manhattan,0.887
77,40.8018889,-73.95596012,W. 112 St. between Adam C. Powell Blvd. and Frederick Douglas Blvd.,N,P.S. 241,Manhattan,0.665
78,40.79814287,-73.94917145,W. 111 St. between 5 Ave. and Lenox Ave.,No,P.S. 185,Manhattan,0.601
99,40.85041566,-73.93388834,Wadsworth Ave. between W. 183 St. and W. 182 St.,No,P.S. 132,Manhattan,0.108
100,40.79883105,-73.95026096,W. 111 St. between 5 Ave. and Lenox Ave.,No,P.S. 208,Manhattan,0.869
110,40.80697268,-73.95171702,W. 120 St. between Adam C. Powell Blvd. and St. Nicholas Ave.,No,P.S. 76,Manhattan,0.428
115,40.71733297,-74.01343763,West St. between Warren St. and Chambers St.,No,I.S./P.S. 89,Manhattan,0.236
116,40.85953958,-73.92783436,Ellwood St. between Hillside Ave. and Nagle Ave.,No,P.S. 152,Manhattan,0.027
117,40.80758532,-73.955123,"Manhattan Ave., Morningside Ave., W. 119 St., and W. 120 St.",No,P.S. 242,Manhattan,0.719
124,40.85938133,-73.92244112,"Harlem River Drive, Dyckman St. and 10 Ave.",No,P.S. 5,Manhattan,0.406
125,40.85303228,-73.93358055,Broadway between W. 185 St. and W. 187 St.,No,P.S. 48,Manhattan,0.78
144,40.70591428,-74.00382704,"Front St, John St, & South St",N,Imagination Playground,Manhattan,0.385
189,40.70746263,-74.00115016,Peck Slip between South St. and Front St.,N,Peck Slip,Manhattan,0.187
201,40.72420487,-73.97821139,E. 7 St. bet. Ave. C and Ave. D,N,Urban Botanical/Sam and Sadie Koenig Garden,Manhattan,0.029
202,40.72433153,-73.97776205,E 8th St Btwn Av C and Av D,N,Firemen's Memorial Garden,Manhattan,0.169
203,40.72400365,-73.97698289,E 8th St Btwn Av C and Av D,N,Green Oasis and Gilbert's Grd,Manhattan,0.388
