OBJECTID,longitude,,NAME,TEL,URL,ADRESS1,ADDRESS2,CITY,ZIP
1,40.70381655,-74.01375579,Alexander Hamilton U.S. Custom House,(212) 514-3700,http://www.oldnycustomhouse.gov/,1 Bowling Grn, ,New York,10004
2,40.61512117,-74.06303179,Alice Austen House Museum,(718) 816-4506,http://www.aliceausten.org/,2 Hylan Blvd, ,Staten Island,10305
3,40.83385383,-73.94729768,American Academy of Arts and Letters,(212) 368-5900,http://www.artsandletters.org/,633 W. 155th St., ,New York,10032
4,40.76162531,-73.97810302,American Folk Art Museum,(212) 265-1040,http://www.folkartmuseum.org/,45 West 53rd Street, ,New York,10019
5,40.6990566,-74.03968484,American Immigration History Center,(212) 363-3200,http://www.ellisisland.org/,Ellis Island, ,New York,0
6,40.78082657,-73.97364816,American Museum of Natural History,(212) 769-5100,http://www.amnh.org/,Central Park West at 79th Street, ,New York,10024
7,40.72352693,-74.00701188,American Numismatic Society,(212) 571-4470,http://www.numismatics.org/,75 Varick St, 11th Floor,New York,10013
8,40.76882456,-73.96597045,Americas Society,(212) 249-8950,http://as.americas-society.org/,680 Park Ave., ,New York,10021
9,40.72112778,-73.99963037,Anne Frank Center USA,(212) 431-7993,http://www.annefrank.com/,38 Crosby Street, 5th Floor,New York,10012
10,40.76983412,-73.96428396,Asia Society,(212) 288-6400,http://www.asiasociety.org/,725 Park Avenue, ,New York,10021
11,40.83358262,-73.9465459,Audubon Terrace, ,http://www.washington-heights.us/history/archives/audubon_terrace_museum_group_102.html,Broadway at 155 Street, ,New York,10032
12,40.87177865,-73.8055795,Bartow-Pell Mansion,(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,895 Shore Road, Pelham Bay Park,Bronx,10464
13,40.76288667,-73.82489046,Bowne House,(718) 359-0528,http://www.bownehouse.org/,37-01 Bowne Street, ,Queens,11354
14,40.87823677,-73.87974874,Bronx Historical Society & Musem,(718) 881-8900,http://www.bronxhistoricalsociety.org/,3309 Bainbridge Ave, ,Bronx,10467
15,40.83103011,-73.91975018,Bronx Museum of the Arts (BXMA),(718) 681-6000,http://www.bronxmuseum.org/,1040 Grand Concourse, ,Bronx,10456
16,40.67450733,-73.94401601,Brooklyn Children's Museum,(718) 735-4400,http://www.brooklynkids.org/,145 Brooklyn Avenue, ,Brooklyn,11213
17,40.69480331,-73.9924054,Brooklyn Historical Society,(718) 222-4111,http://www.brooklynhistory.org/default/index.html,128 Pierrepont Street, ,Brooklyn,11201
18,40.67108355,-73.96358507,Brooklyn Museum,(718) 638-5000,http://www.brooklynmuseum.org/,200 Eastern Parkway, ,Brooklyn,11238
19,40.74789793,-74.00731553,Chelsea Art Museum,(212) 255-0719,http://www.chelseaartmuseum.org/,556 West 22nd Street, ,New York,10011
20,40.78587125,-73.97727392,Children's Museum of Manhattan,(212) 721-1234,http://www.cmom.org/,212 West 83rd Street, ,New York,10024
21,40.7207498,-73.99883836,Children's Museum of the Arts,(212) 274-0986,http://cmany.org/intro.php?pn=home,182 Lafayette Street, ,New York,10012
22,40.86492397,-73.93173409,Cloisters,(212) 923-3700,http://www.metmuseum.org/cloisters/,99 Margaret Corbin Drive, ,New York,10040
23,40.57526358,-73.97985598,Coney Island Museum,(718) 372-5159,http://www.coneyisland.com/,1208 Surf Ave, ,Brooklyn,11224
24,40.78432607,-73.95778162,"Cooper-Hewitt, National Design Museum",(212) 849-8400,http://www.cooperhewitt.org/,2 East 91st Street, ,New York,10128
25,40.76210731,-73.9730419,Dahesh Museum,(212) 759-0606,http://www.daheshmuseum.org,580 Madison Avenue, ,New York,10022
26,40.83330244,-73.94649318,Dia at the Hispanic Society,(845) 440-0100,http://www.diabeacon.org/,613 West 155th Street, ,New York,10032
27,40.74789526,-74.00613538,Dia Art Foundation,(212) 989 5566,http://www.diacenter.org/,535 W 22nd Street, ,New York,10011
28,40.75750142,-73.98731864,Discovery Times Square Exposition,(866) 987-9692,http://www.discoverytsx.com/nyc/,226 W 44th St, ,New York,1036
29,40.72245152,-74.00290417,Drawing Center,(212) 219-2166,http://www.drawingcenter.org/about_visit.cfm,35 Wooster St., ,New York,10013
30,40.86713125,-73.92383915,Dyckman Farmhouse,(212) 304-9422,http://www.dyckmanfarmhouse.org/,4881 Broadway, ,New York,10034
31,40.72496004,-73.99272306,East Village History Project,(212) 614-8702,http://leshp.org/,308 Bowery, ,New York,10012
32,40.79309925,-73.9513676,El Museo del Barrio,(212) 831-7272,http://www.elmuseo.org/,1230 Fifth Ave, ,New York,10029
33,40.69820789,-74.04132162,Ellis Island Museum,(212) 363-3200,http://www.ellisisland.org/,Ellis Island, ,New York,0
34,40.70339961,-74.01133926,Fraunces Tavern Museum,(212) 425-1778,http://www.frauncestavernmuseum.org/,54 Pearl Street, ,New York,10004
35,40.77105499,-73.96708041,Frick Collection,(212) 288-0700,http://www.frick.org/,1 E. 70th Street, ,New York,10021
36,40.61516556,-74.07387774,Garibaldi-Meucci Museum,(718) 442-1608,http://statenislandusa.com/pages/garibaldi.html,420 Tompkins Avenue, ,Staten Island,10305
37,40.77916597,-73.96174204,Goethe-Institut New York,(212) 439-8700,http://www.goethe.de/ins/us/ney/deindex.htm,1014 Fifth Avenue, ,New York,10028
38,40.77611378,-73.94306846,Gracie Mansion,(212)-570-4751,http://www.nyc.gov/html/om/html/gracie.html,89th Street at East End Avenue,Carl Schurz Park,New York,10128
39,40.8587475,-73.91397963,Hall Of Fame For Great Americans,(718) 289-5161,http://www.bcc.cuny.edu/hallofFame/,Hall of Fame Terrace & Sedgwick Avenue, ,Bronx,10453
