parkID,homeCity,latitude,longitude,name,description
1843,New York,40.61118875,-73.97729201,Aimee Triangle,"109-Brinkerhoff Av, 160-Union Hall Sts"
576,New York,40.79229418,-73.93489023,Thomas Jefferson Park,"1 Ave To FDR Dr., E 111 St. To E 114 St."
273,New York,40.80153895,-73.93158051,Triboro Plaza,"1 Ave. To 2 Ave., E. 124 St. To E. 126 St."
449,New York,40.74458615,-73.97312916,St. Vartan Park,"1 Ave. To 2 Ave., E. 35 St. To E. 36 St."
333,New York,40.74859984,-73.96967801,Robert Moses Playground,"1 Ave., E. 41 St. To E. 42 St."
1879,New York,40.74884251,-73.97023733,Trygve Lie Plaza,"1 Ave., E. 41 St. to E. 42 St."
1187,New York,40.74898467,-73.96997037,Ralph Bunche Park,"1 Ave., E. 42 St. to E. 43 St."
451,New York,40.76474824,-73.95841958,St Catherine's Park,"1 Ave., E. 67 St. To E. 68 St."
572,New York,40.85586682,-73.92209574,Sherman Creek,10 Ave. bet. Academy St. and the  Harlem
1717,New York,40.64269088,-73.99441234,Brizzi Playground,"10 Ave., New Utrecht Ave. bet. 43 St. and 42 St."
1090,New York,40.74888915,-73.95212541,Gordan Triangle,"10 St, 44 Dr, Vernon Bl"
994,New York,40.68240753,-73.85757911,Ampere Playground,101 Av Bet 82 and 83 Sts
958,New York,40.74060676,-73.85914828,Simeone Park,"101 St, Lewis, Strong, and Radcliff Avs"
946,New York,40.73624903,-73.85428605,Barrier Playground,"102 St, 62 Av and Yellowstone Bl"
2034,New York,40.74414482,-73.86132956,Josephine Caminiti Playground,102 St. bet. Corona Ave. and Alstyne Ave.
825,New York,40.80322142,-73.93963189,Jackie Robinson Community Garden,103 E 122nd Street
1335,New York,40.68845989,-73.95444009,Clifton Pl Memorial Park and Garden,"1033-31,1037-35 Bedford Av"
2027,New York,40.74343428,-73.85517088,William F Moore Park,"108 St., Corona Ave., 51 Ave."
1088,New York,40.7471058,-73.8550841,Corona Golf Playground,109 St Bet 46-47 Avs
1030,New York,40.6942674,-73.79149791,Jamaica Playground,"109-Brinkerhoff Av, 160-Union Hall Sts"
1024,New York,40.69458901,-73.79130596,Mckinley's Children's Garden,109th Av and Union Hall St
1414,New York,40.67075151,-73.99340679,Ennis Playground,"11 To 12 Sts, 2 To 3 Avs"
1116,New York,40.70810231,-73.74312083,Nakks Malls,"110 Av, 213 To 217 Sts"
2078,New York,40.68333654,-73.80766037,Frederick B. Judge Playground,"111 Av, 134 and 135 Sts, Lincoln St"
291,New York,40.75704077,-73.85513136,Hinton Park,"113 St and 34 Av, 114 St & Pell Av"
1015,New York,40.69840806,-73.73949424,East Springfield Playground,115 Rd Bet 218 and 219 Sts
2091,New York,40.78504971,-73.85278021,Playground 115,115 St. bet. 14 Ave. and 14 Rd.
981,New York,40.683226,-73.79198595,Bcca Mini-park and Garden,115th Dr  Bet Sutphin Bl and 155th St
937,New York,40.68555273,-73.72889316,Delphin H. Greene Playground,121 Av and 237 St
383,New York,40.69304249,-73.94662654,American Heart,122 Hart St
1308,New York,40.68943766,-73.93011958,Patrick Van Doren Pocket Park,123 Malcolm X Av
1123,New York,40.70432243,-73.82628471,Metro Triangle,"125 St and 85th Av, Metropolitan Av"
1126,New York,40.70705821,-73.82702352,Eight Oaks Triangle,"125 St, 84 Dr and Austin St"
1363,New York,40.69467637,-73.91286228,Madison Square Garden Association,1262-1264 Madison St
1207,New York,40.80957727,-73.94279402,Rev Linette C Williamson Memor,"129th St, Btwn Lenox Av and Fifth Av"
1306,New York,40.67740918,-73.91687664,Louis Pl Friends,13 Louis Pl
2026,New York,40.79219765,-73.83722442,Powell's Cove Park,"130-131 Sts, 9-11 Avs"
1161,New York,40.77528591,-73.83516053,College Point Park,"130th St, 23rd Av"
303,New York,40.78552183,-73.83363189,Frank Golden Park,"132 St. To 138 St., 14 Rd."
1152,New York,40.67377399,-73.85390503,Tudor Malls,133 Av Bet 82 and 86 Sts
1067,New York,40.6775549,-73.83556345,John Adams Playground,"133 Av, 101 To 103 Sts"
998,New York,40.66814716,-73.79512791,Hilton Holiday Gardens,"133 To 135 Avs, 143 To 145 Sts"
199,New York,40.76616173,-73.83000461,Lewis H Latimer House,137th St and Leavitt St
947,New York,40.74196319,-73.82693386,Turtle Playground,138 St and Srvc Rd S/s HorHard Exwy
2082,New York,40.76795838,-73.93241824,Astoria Health Playground,14 St. bet. 31 Ave. and 31 Dr.
2063,New York,40.78241531,-73.82307458,Harvey Park,"144 St., Whitestone Exwy. bet. 15 Ave. and 20 Ave."
940,New York,40.7743983,-73.81934104,Hart Playground,147 St Bet 26 and 27 Avs
1049,New York,40.71024706,-73.81083913,Briarwood Playground,148 St and 85 Av
983,New York,40.70364111,-73.80714156,George Eagle Carr Community Gard,148th St Bet 89th and 90th Avs
2073,New York,40.66033866,-73.76139576,Springfield Park,"149 Av, Springfield Bl, 145 Rd, 148 St"
1060,New York,40.65238075,-73.73595423,Sunrise Playground,"149 Rd, Weller Ln, 149 Av, 253 St"
2061,New York,40.77595871,-73.81586606,Flushing Fields,"149 St. bet. 25 Ave. and 26 Ave., 29 Ave. and Bayside Ave."
1100,New York,40.78719252,-73.81588194,Mckee Triangle,"149 St., 15 Ave., Cross Island Pkwy."
1333,New York,40.69435067,-73.94581863,All People's Church Of The Apostolic Faith,149 Tompkins Av
955,New York,40.78535796,-73.8461651,College Point Park,"14th Av, 121st St, College Pt Bl"
926,New York,40.79211822,-73.80787488,Whitestone Playground,152 St Bet 11 and 12 Avs
996,New York,40.66470295,-73.85021997,Harold Schneiderman Playground,155 Av Bet 84 and 85 Sts
1203,New York,40.81358678,-73.94341233,Margrichante Garden,155-159 W 133rd St
813,New York,40.7952238,-73.94366594,Family Community Garden,156 E 111th St Bet Lex and 3rd Av
2085,New York,40.69251673,-73.79439429,George Washington Carver Botanical Garden,156th St Bet 109th and 110th Avs
2084,New York,40.69261279,-73.79593975,Marconi Park,"157 St., 155 St. bet. 108 Ave. and 109 Ave."
1814,New York,40.65779804,-73.85701542,Spring Creek Park Addition,"157th Dr, 158th Av, Sheridan St"
1978,New York,40.77101044,-73.8054799,Bowne Park,"159 St, 29 Av, 155 St, 32 Av"
1463,New York,40.61867746,-73.99848042,Lt. Petrosino Park,"16 Ave., New Utrecht Ave. bet. 70 St. and 71 St."
1339,New York,40.68024754,-73.95759844,Lefferts Pl Block Association,162 Lefferts Pl
1135,New York,40.76231233,-73.80378092,Studley Triangle,"162 St., Northern Blvd., Crocheron Ave.,"
1158,New York,40.77794518,-73.79790935,Playground Twenty One,"163 To 166 Sts, 21 Av To 21 Rd"
927,New York,40.73052065,-73.805828,Emerald Playground,164 St Bet Jewel and 71 Avs
810,New York,40.79649336,-73.94724523,M384,1659 Madison Av
924,New York,40.78377806,-73.79578129,Willets Point Playground,166 St Bet 16 Av and 16 Rd
1013,New York,40.69686294,-73.78640095,Latimer Playground,167 St and 109 Av
839,New York,40.72011622,-73.98434895,Cmty Of Poor People In Action,171 Stanton St and Clinton St
1509,New York,40.67220233,-73.92062222,Preston Comm Garden,1711 Park Pl
814,New York,40.79891376,-73.94045283,117th St Community Garden,172 E 117th St Bet Lex and 3rd Av
1119,New York,40.67389926,-73.76877367,South Rochdale Playground,173 St and 137 Av
2080,New York,40.70144024,-73.78353936,Detective Keith L Williams Park,"173 St., 172 St. bet. Liberty Ave., 106 Ave., Polhemas Ave. and 107 Ave."
2079,New York,40.70874816,-73.78157989,Harvard Playground,179 Pl. bet. 90 Ave. and Jamaica Ave.
297,New York,40.78320043,-73.8420626,Mall Eighteen,18 Ave. bet. 126 St. and 127 St.
1479,New York,40.60965032,-73.99912364,Milestone Park,18 Ave. bet. 81 St. and 82 St.
1716,New York,40.60910288,-73.99972931,Garibaldi Playground,18 Ave. bet. 83 St. and 82 St.
1470,New York,40.62440868,-73.98476575,Gravsend Park,"18 To 19 Avs, 56 To 58 Sts"
1529,New York,40.66420633,-73.91667324,Fantasy Garden,181 Legion St
198,New York,40.60228798,-73.75159049,Sorrentino Recreation Center,18-48 Cornaga Av
1849,New York,40.61397456,-73.82306257,Broad Channel Wetlands,188 St To 197 St and Cross Bay Bl
1530,New York,40.67463756,-73.9182286,Farmers Garden,1897-1905 Bergen St
1431,New York,40.65427425,-73.9784602,Thomas J. Cuite Park,19 St. bet. 11 Ave. and Seeley St.
2023,New York,40.78252744,-73.91996804,Astoria Park,19 St. bet. Astoria Park S. and Ditmars Blvd.
1040,New York,40.68533459,-73.75686188,Locust Manor Playground,"192 St, S/s 121 Av"
2072,New York,40.69936009,-73.75747795,Daniel M O'Connell Playground,"197 St., 196 St. bet. 113 Ave. and Murdock Ave."
1188,New York,40.73545428,-73.98184893,Augustus St. Gaudens Playground,"2 Av, E 19 To E 20 Sts"
1434,New York,40.64539632,-74.01966658,Martin Luther Playground,2 Ave. bet. 55 St. and 56 St.
1817,New York,40.78436387,-73.94548713,Marx Brothers Playground,"2 Ave., E. 96 St. to E. 97 St."
1117,New York,40.77684207,-73.93457008,Hellgate Field,"2 St, 26 Av and E River"
1156,New York,40.77706554,-73.90237672,Woodtree Playground,"20 Av, 37 St, 38 St"
2000,New York,40.78091353,-73.8442333,Poppenhusen Playground,"20 Ave., 21 Ave. bet. 123 St. and 124 St."
1081,New York,40.77666253,-73.90350317,Steinway Playground,"20 Rd-20 Av, 37-38 Sts"
1304,New York,40.69484285,-73.94399436,Vernon Tandt Block Association,200 Vernon Av
1071,New York,40.74749602,-73.77654844,Saul Weprin Playground,201 To 202 Sts Bet 53 and 56 Avs
815,New York,40.80253699,-73.93836029,Life Spire Garden,2015 Lex Av Bet E 122nd and E 123rd St
5,New York,40.77294912,-73.784728,Bayside Fields,"204 St and 29 Av, Clearview Exwy"
1016,New York,40.70612991,-73.7533132,Hollis Playground,"204 St, Hollis Av, 205 St, 111 Av"
1528,New York,40.66510122,-73.91398561,Amboy Neighborhood Center,205-203 Herzl St
868,New York,40.72848769,-73.97822949,Yu Suen Garden,209 Av B and E 13th St
1162,New York,40.77079176,-73.893713,Carlos R. Lillo Park,"20th Av, 21st Av and 76th St"
2007,New York,40.74364647,-73.76604642,Seven Gables Playground,"210 St., Oceania St. bet. the Long Island Exwy. and 64 Ave."
1483,New York,40.57598483,-73.98808534,Santos White Garden,2110 Mermaid Av
1385,New York,40.67373909,-73.87867505,Atkins Gardeners,213 Atkins Av
866,New York,40.72465344,-73.97951499,Lower E Side Ecology Center,213 E 7th Street
1391,New York,40.67379589,-73.87826098,Concerned Residents of Montauk Avenue,214 Montauk Av
2002,New York,40.7732946,-73.76571465,Crocheron Park,"214 Pl., 214 La., 215 Pl, Cross Island Pkwy. bet. 33 Ave. and 35 Ave."
2003,New York,40.77530721,-73.76710943,John Golden Park,"215 Pl, S/o 32 Av"
1032,New York,40.75551957,-73.76433927,Captain Dermody Triangle,216 St and 48 Av
1984,New York,40.77900671,-73.78505942,Clearview Park Golf Course,"22 Av and Little Bay, Willets Point Bl"
1129,New York,40.6728056,-73.74778887,Mall 225 Center,"225 St, 137 To 141 Avs"
1051,New York,40.77112264,-73.90751093,Ditmars Park,"23 Av-ditmars Bl, Steinway St"
1314,New York,40.69143078,-73.95479716,Spencer St Block Association,230 Spencer St
1053,New York,40.75327977,-73.75118496,Linnaeus Park,230 St Bet 57 Av and 57 Rd
1192,New York,40.81104756,-73.95071587,Cep Community Garden,2351 8th Av and 303 W 126th St
854,New York,40.72218554,-73.98159307,Brisas Del Caribe,237 E 3rd St Bet Av B and C
1397,New York,40.67369304,-73.8845537,Floral Vineyard,2379-2385 Pitkin Av
938,New York,40.76611478,-73.8757295,Jackson Mill Green,"24 Av, Jackson Mill Rd, 94 St"
2090,New York,40.72524468,-73.72814639,Breininger Park,240 St. bet. Braddock Ave. and Fairbury Ave.
1976,New York,40.75444963,-73.73320416,Douglaston Park Golf Course,"244-242 Sts, 61-72 Avs, Commonwealth Bl"
207,New York,40.72119552,-73.98169432,Allied Productions/le Petit Versailles,247 E 2nd St
1907,New York,40.76626307,-73.8702121,East Elmhurst Playground,25 Av Bet 98 and 100 Sts
1440,New York,40.67800751,-73.96754921,Propspect Heights Community Farm,252-256 St Marks Av
1305,New York,40.69517956,-73.94302137,Vernon/throop Av Block Association,253 Throop Av
1404,New York,40.67472127,-73.8785723,Manley's Pl,2539 Pitkin Av
1003,New York,40.76338812,-73.72554454,Nassau Mall South,254 St and 57 Av
1367,New York,40.6744223,-73.87775051,Upon This Rock Comm Garden,2556 Pitkin Av
1241,New York,40.71587427,-73.94023654,Red Shed Garden,266 Skillman Av
1191,New York,40.80816225,-73.95199959,Our Little Green Acre/garden Eight,275-277 W 122nd Street
1362,New York,40.68230228,-73.90745915,Granite St Block Association,"28,30,32 Granite St"
1401,New York,40.67391743,-73.88862681,Herbal Garden,"285 Schenck Av, Corner Of Glenmore"
1062,New York,40.76800011,-73.92169282,Athens Square,"29 St, 30 St, 30 Av, Newtown Av"
976,New York,40.77056268,-73.92749916,Van Alst Playground,"29 To 30 Avs, 14 To 21 Sts"
484,New York,40.83613415,-73.90291956,Gouverneur Playground,3 Av bet E 170 St & St Paul's Pl
742,New York,40.7284764,-73.99089147,Cooper Triangle,"3 Av To 4 Av, E 6 St To E 7 St"
471,New York,40.82906999,-73.90565831,Rocks & Roots Park,3 Av to Fulton Av bet E 167 St & E 168 St
352,New York,40.81338504,-73.92103021,Clark Playground,"3 Ave. bet. E, 145 St. and E. 144 St."
1706,New York,40.67381485,-73.98558138,Washington Park,"3 St., 4 St. bet. 4 Ave. and 5 Ave."
294,New York,40.76160917,-73.88371746,Gorman Playground,"30 Av, 85 St, 25 Av, 84 St"
2005,New York,40.76076802,-73.91101385,Astoria Heights Playground,"30 Rd, 45 To 46 Sts"
1151,New York,40.75779316,-73.9003484,St Michaels Playground,"30 To 31 Avs and Boody St, BQE"
1,New York,40.7134138,-73.96352451,Berry Street Garden,301-303 Berry St
1189,New York,40.80432124,-73.95602985,Garden Of Love,302-304 W 116th St
1334,New York,40.68790297,-73.95920032,Cedar Tree Garden,305 Greene Av
828,New York,40.7979278,-73.93615136,Diamante Garden,306-310 E 118th St Bet 1st and 2nd
1455,New York,40.66108328,-73.9521953,Lincoln Rd Block Association,316 Lincoln Road
386,New York,40.67400812,-73.88703024,Garden Party,316-318 Jerome St
2058,New York,40.75870545,-73.87465995,Veterans Plaza,"32 Av, 94 St, Jackson Mill Rd"
306,New York,40.75877124,-73.86933182,Fisher Pool,32 Ave. bet. 99 St. and 100 St.
2070,New York,40.77089482,-73.77907146,Kennedy Playground,"32 Ave., 33 Ave. bet. Corporal Kennedy St. and 210 St."
1338,New York,40.68296345,-73.94304078,Hancock T and T,322-324 Hancock St
1065,New York,40.75744199,-73.86101059,Louis Armstrong Community Center,33-16 108th St
867,New York,40.72501021,-73.97891974,Earth People,333-335 E 8th St Bet Av B and C
807,New York,40.79145892,-73.93937634,Humacao Community Garden,335 E 108th St Bet 1st and 2nd Av
975,New York,40.75458055,-73.8890332,TrAvrs Park,"34 Av, 78 St, 77 St"
2028,New York,40.75657795,-73.85838873,Mall Thirty Four XXXIV,"34 Ave. bet. 79 St. and 92 St., Junction Blvd. and 11 St."
2081,New York,40.75442741,-73.87186279,Junction Playground,34 Ave. bet. 96 St. and Junction Blvd.
1436,New York,40.6559492,-74.00429107,D'emic Playground,34 To 35 Sts and 3 Av
1403,New York,40.6722873,-73.88821333,Jerry and The Senior Gents,349 Schenck Av
1083,New York,40.76562381,-73.79388519,Auburdale Playground,35 Av Bet 171 and 172 Sts
1157,New York,40.7627789,-73.93416183,Ravenswood Playground,"35 Av, 21 St, 34 Av"
141,New York,40.75604544,-73.92632039,A.R.R.O.W. Field House,"35th St, Bet 35th and 36th Avs"
1059,New York,40.76132201,-73.94090008,Spirit Playground,36 Av Bet 9 and 10 Sts
1561,New York,40.60998711,-73.93272831,Hendrick I Lott House,"36 Street Btwn Fillmore and Av ""s"""
1407,New York,40.66962804,-73.8922366,Ps 149 Artsy Bloom Community Garden,367 Wyona Street
1371,New York,40.67364228,-73.88763778,Mw United Orient Grand Lodge,369-371 Barbey St and 326-328 Jerome St
1153,New York,40.75821808,-73.93853846,sixteen Oaks Grove,37 Av and 21 St
949,New York,40.75629621,-73.85567154,Louis Armstrong Playground,37 Av Bet 112 and 113 Sts
702,New York,40.76400091,-73.82381207,Margaret I. Carman Green - Weeping Beech,37 Ave. bet. Bowne St. and Parsons Blvd.
1107,New York,40.75632383,-73.93334388,Dutch Kills Playground,"37 Ave., 28 St., 36 Ave., Crescent St."
1086,New York,40.76100141,-73.91790361,Sean's Place,"38 St, 31 Av and Bway Btwn 31 Av & Bway"
1336,New York,40.68777895,-73.9443327,First Quincy St Block Association,397-401 Quincy St
1384,New York,40.66851469,-73.87671248,400 Montauk Av Block Assn,"398-400 Montauk Av,s/o New Lots Av"
1435,New York,40.65208145,-74.0080948,Gonzalo Plasencia Playground,"40 and 41 Sts, 3 Av"
289,New York,40.75828239,-73.8306726,Bland Playground,"40 Rd, Prince and Main Sts"
838,New York,40.72949456,-73.98258725,Open Road Garden,404-16 E 12th Street
1138,New York,40.74830896,-73.86336425,American Triangle,"41 Av, 102 St, National Av"
1361,New York,40.68481182,-73.91074103,Cooper St Block Buster Bl Association,41 Cooper St
2012,New York,40.74833219,-73.86104372,Park Of The Americas,"41 To 42 Avs, 103 St"
1481,New York,40.64588986,-74.00243978,Sunset Park,"41 To 44 Sts, 5 To 7 Avs"
1050,New York,40.76038486,-73.78357511,Francis Lewis Playground,42 Av At Francis Lewis Bl
945,New York,40.76199356,-73.77450857,Mall Forty Two XLII,"42 Av, Bell Bl To Francis Lewis Bl"
1144,New York,40.74203011,-73.89702313,Jennings Park,"43 Av, 68 St, W/s BQE"
1831,New York,40.74392521,-73.91362408,John Vincent Daniels Jr. Square,"43 Ave., Roosevelt Ave. bet. 50 St., 51 St. and 52 St."
1372,New York,40.67411622,-73.88407393,Community Group of 349 Elton Street,433-435 Cleveland St
1386,New York,40.66874544,-73.88943751,Big Red Garden,436 Van Siclen Av
827,New York,40.79418631,-73.93437516,Pleasant Park Garden,437-39 E 114th St
1137,New York,40.74737847,-73.94315659,Rafferty Triangle,"44 Dr., Hunter St. Crescent St."
1364,New York,40.67253205,-73.88608029,Gregory's Garden,"444,448 Warwick Av"
1402,New York,40.67059127,-73.88594001,Jerome Gardens,447 Jerome St
986,New York,40.74731236,-73.94777281,Murray Playground,"45 Ave., 45 Rd. bet. 11 St. and 21 St."
1439,New York,40.64894616,-74.01205739,Pena Herrera Park,"46 and 47 Sts, 3 Av"
1046,New York,40.75654538,-73.77178525,Marie Curie Park,46 Av and 211 St
304,New York,40.75533248,-73.80194209,Martins Field,"46 Av, 165 St, 164 St"
2033,New York,40.74093393,-73.92213791,L/CPL Thomas P. Noonan Jr. Playground,"47 Ave., Greenpoint Ave. bet. 42 St. and 43 St."
1155,New York,40.77247049,-73.89727281,Paul Raimonda Playground,"47 To 48 Sts, 20 Av"
1366,New York,40.66738204,-73.8937978,St John Cantius Parish,476-484 New Jersey Av
1179,New York,40.76128176,-73.98931726,Ramon Aponte Park,47th St Between 8th and& 9th Avs
824,New York,40.80862314,-73.93982928,Harlem Rose Garden,4-8 E 129th Street
930,New York,40.74321044,-73.95448033,Andrews Grove,49 Ave. bet. 5 St. and Vernon Blvd.
1337,New York,40.68800418,-73.95125588,Greene Av United Neighbors Association Inc,490 Greene Av
1396,New York,40.66666941,-73.8907848,First Temple Of David,494 Bradford St
452,New York,40.80026634,-73.95773461,Central Park,"5 Av To Central Park W, 59 St To 110 St"
33,New York,40.76383486,-73.97359448,Grand Army Plaza,"5 Av, W 58 St To W 59 St"
1798,New York,40.72966821,-73.99660685,Washington Square Park,"5 Ave, Waverly Pl., W. 4 St. and Macdougal St."
1821,New York,40.81184553,-73.93682694,Abraham Lincoln Playground,5 Ave. and E. 135 St.
13,New York,40.81015473,-73.94033556,Courtney Callender Playground,"5 Ave., W. 130 St. To .W 131 St."
1707,New York,40.67266943,-73.98508748,JHS 51 JOP,"5 St., 4 St. bet. 4 Ave. and 5 Ave."
180,New York,40.74174248,-73.95139836,Bridge and Tunnel Park,50 Ave. bet. 11 St. and 11 Pl.
1136,New York,40.74205422,-73.95419261,Vernon Mall,"51 Av, Vernon Bl, 52 Av"
1061,New York,40.73620693,-73.88988433,Long Island Mews,"51 Pl, 74 St, 51 Av"
1048,New York,40.76130921,-73.7354554,Louis Pasteur Park,52 Av Bet 248 St and Marathon Pkwy
934,New York,40.74711249,-73.90945759,Lawrence Virgilio Playground,"52 St., Woodside Ave. bet. 39 Rd. and 39 Dr."
1412,New York,40.66602864,-73.89062657,Ps 53,522 Bradford St
1393,New York,40.67354099,-73.89066585,E End Community Garden,530-2 Glenmore Av/260 Van Siclen Av
841,New York,40.72843637,-73.97957942,El Sol Brilliante Jr,537 E 12th St Bet Av A and B
1124,New York,40.75703322,-73.90759246,Strippoli Square,54 St and 31 Av
1004,New York,40.72670213,-73.9005068,Federalist Triangle,"55 Ave., Hamilton Pl., 65 Pl."
181,New York,40.72547378,-73.90123581,Hull Triangle,"55 Dr., 64 St., Hull Ave."
182,New York,40.7251278,-73.89868804,Whitefish Triangle,"55 Dr., Hamilton Pl., Perry Ave."
1398,New York,40.67420135,-73.889866,Glenmore Hendrix Block Association,555 Glenmore Av
1399,New York,40.6706872,-73.8794928,Good Shepherds Garden,555-557 Shepherd Av
1389,New York,40.67453025,-73.88903415,Clara's Garden,573 Thru 579 Glenmore Av
157,New York,40.72417812,-73.89569889,Frontera Park,58 Ave. bet. Brown Pl. and 69 St.
164,New York,40.72625011,-73.88892977,Sitting Area,"58 Ave., 73 St., Queens - Mid-Town Exwy. Sr. Rd. S."
1394,New York,40.66861813,-73.88167391,Elton St Block Association,585 Elton St
1373,New York,40.66077928,-73.89572291,United Community Centers - E New York Farms Project,599 Alabama Av
1834,New York,40.61627168,-74.0308292,Fort Hamilton Triangle,"5th Av, 4th Av, 94th St"
