stationID,longitude,latitude,line
1,40.68672833,-73.990272,F-G
2,40.69372533,-73.990678,2-3-4-5-N-R
3,40.69364233,-73.990592,2-3-4-5-N-R
4,40.69439312,-73.99253736,2-3-4-5-N-R
5,40.66272736,-73.96224891,B-Q-S
6,40.67716435,-73.98339417,D-N-R
7,40.67705164,-73.98308231,D-N-R
8,40.67719509,-73.98299,D-N-R
9,40.68069933,-73.975209,2-3-4
10,40.69204411,-73.98621464,N-R
11,40.69225842,-73.98611377,N-R
12,40.69044933,-73.985271,2-3
13,40.69089534,-73.985255,2-3
14,40.69044233,-73.984551,2-3
15,40.69040734,-73.984347,2-3
16,40.6920956,-73.98536144,N-R
17,40.69223494,-73.98519674,N-R
18,40.6915088,-73.98215994,B-D-N-Q-R
19,40.68392533,-73.978871,2-3-4-5-B-D-N-Q-R
20,40.68515511,-73.97774737,2-3-4-5-B-D-N-Q-R
21,40.6923566,-73.98619068,N-R
22,40.68111653,-73.99439275,F-G
23,40.67187792,-73.96437533,2-3-4
24,40.67213641,-73.96415218,2-3-4
25,40.67034265,-73.9578869,2-3-4-5-S
26,40.67074103,-73.9576456,2-3-4-5-S
27,40.68103492,-73.95569778,A-C-S
28,40.67092663,-73.95772032,2-3-4-5-S
29,40.70132133,-73.986653,F
30,40.71875307,-73.98827786,F-J-M-Z
31,40.68986469,-73.9813607,B-D-N-Q-R
32,40.58772911,-73.81401045,A-S
33,40.6991615,-73.98891298,A-C
34,40.69925855,-73.9882707,A-C
35,40.69260441,-73.99060229,2-3-4-5-N-R
36,40.70534033,-73.811829,F
37,40.63504233,-73.962783,B-Q
38,40.75221933,-73.927641,E-M-R
39,40.63637533,-73.994612,D
40,40.71261233,-74.008224,2-3-A-C-E
41,40.68367744,-73.96711602,A-C
42,40.6245642,-73.97577719,F
43,40.70097088,-73.81629903,E
44,40.74655506,-73.89071415,7-E-F-M-R
45,40.69367233,-73.929667,J
46,40.76029733,-73.983567,N-Q-R
47,40.75028333,-73.99065,1-2-3
48,40.74965633,-73.99113,1-2-3
49,40.70547144,-73.9505447,G
50,40.71069234,-74.008428,2-3-4-5-A-C-J-Z
51,40.75031333,-73.990854,1-2-3
52,40.69343233,-73.85244,J-Z
53,40.80776734,-73.919314,6
54,40.62614515,-73.97603747,F
55,40.64271533,-73.97924,F
56,40.76042233,-73.976146,E-M
57,40.6797779,-73.94135896,A-C
58,40.74703633,-73.993138,1-2
59,40.51783269,-74.2390068,@
60,40.64472488,-74.07671915,@
61,40.70858933,-73.95801,J-M-Z
62,40.72558334,-74.003747,A-C-E
63,40.70283633,-73.907481,M
64,40.74781733,-73.883829,7
65,40.70679995,-74.00887882,2-3
66,40.81655333,-73.896234,6
67,40.69002503,-73.9516544,G
68,40.78089533,-73.972918,A-C-B
69,40.86575833,-73.927266,A
70,40.75169833,-73.856017,7
71,40.71947133,-74.001617,4-6-6 Express-J-Z-N-Q-R
72,40.6608587,-73.96204896,B-Q-S
73,40.76645233,-73.982815,1-2-A-C-B-D
74,40.68318133,-73.911274,J-Z
75,40.68338859,-73.96709508,A-C
