OBJECTID,Shape,,NAME,ADDRESS,TYPE,URL
1039,40.70534295,-74.01398334,11 Broadway,11 Broadway,Fee-based, 
1,40.84807995,-73.93587786,111 Wadsworth Ave,111 Wadsworth Ave,Free,http://v4.jiwire.com/wi-fi-wireless-hotspot-New-York-New-York-NY-US-111-Wadsworth-Avenue-17B-1284187.htm
1166,40.75922824,-73.83114366,135 Star Donuts Inc,13541 Roosevelt Ave,Fee-based, 
1040,40.7029056,-74.0139684,17 State Street,17 State Street,Fee-based, 
1041,40.74529083,-73.99394426,21NYC.com,159 West 25th Street,Fee-based, 
609,40.74974946,-73.97316748,220 E. 42nd Street,220 E. 42nd Street,Fee-based, 
1167,40.77742046,-73.90911283,31st Street,2121 31st Street,Fee-based,http://www.AlbAssociates.com
2,40.76611954,-73.98791631,404 W 54th Street,404 W 54th Street,Free, 
610,40.80344783,-73.96557705,520 West 110th Street,520 West 110th Street,Fee-based, 
1042,40.75531671,-73.98604227,6 Time Square,1466 Broadway,Fee-based, 
426,40.70624699,-74.00850787,60 Wall St. Atrium,60 Wall Street,Free,http://www.downtownny.com/?sid=49
1043,40.74695353,-73.98662507,7 West 31St Street,7 West 31St Street,Fee-based, 
1044,40.75717986,-73.96918168,875 Third Avenue Atrium,875 3rd Avenue,Fee-based, 
694,40.7179761,-73.99010174,88 Orchard,88 Orchard Street,Free,http://www.openwifispots.com/citylist_free_wifi_wireless_hotspot-New_York_NY.aspx
845,40.73283361,-73.99841372,8th Street and Macdougal,177 Macdougal Street,Fee-based, 
325,40.72439665,-73.98287751,Ace Bar,531 East 5th Street,Free,http://maps.google.com/maps?hl=en&ie=UTF-8&q=ace+bar+nyc&fb=1&split=1&gl=us&view=text&latlng=16021670854050475894&dtab=1&ei=i5NkSoaCNYrCNb2l-OwL&oi=md_structdata&sa=X
311,40.72365408,-73.99827911,Activebeauty,"Broadway, between Prince Street & Spring Street",Free,http://usatoday.jiwire.com/wi-fi-wireless-hotspot-New-York-New-York-NY-US-Active-Beauty-com-1083578.htm
1045,40.72423596,-73.99778483,Active-Beauty.com,Broadway & Prince,Fee-based, 
846,40.75614411,-73.97094233,Affinia 50,155 East 50th Street,Fee-based, 
1115,40.65397713,-73.94624601,Affinia Dumont,150 E. 34th Street,Fee-based, 
