OBJECTID,Shape,ORGANIZATI,STATUS,TYPE,GISPROPNUM,OMPPROPID,LOCATION,JURISDICTI,WATERFRONT,MAPPED,SIGNNAME,BOROUGH,Precinct,ACRES,Shape_Length,Shape_Area
1,"(40.713413795000065, -73.96352451099995)",NYCPARKS,I,S,B444,B444,301-303 Berry St, ,N, ,Berry Street Garden,B,0,0.137,361.292944,5933.033692
2,"(40.716276864000065, -73.94979522099993)",NYCPARKS,I,S,B223T,B223T,"Jackson, Lorimer Sts, Meeker Av", ,N, ,Father Giorgio Triangle,B,0,0.1,215.1401288,2926.064841
3,"(40.713962510000044, -73.95377718099991)",NYCPARKS,I,S,B223R,B223R,"Hope St, Marcy, Metropolitan Avs", ,N, ,Jaime Campiz Playground,B,0,0.752,1089.751304,33695.86186
4,"(40.72010374300004, -73.94478239499995)",NYCPARKS,I,S,B223U,B223U,"Graham, Meeker Avs, J Lentol, Humbolt St", ,N, ,Lentol Garden,B,0,0.762,1019.501789,33644.80267
5,"(40.772949115000074, -73.78472799899993)",NYCPARKS,I,S,Q387A,Q387A,"204 St and 29 Av, Clearview Exwy", ,N, ,Bayside Fields,Q,0,2.69,1430.752287,113279.322
6,"(40.76013726600007, -73.96245931399994)",NYCPARKS,I,S,M177,M177,"E. 59 St., between 1 Ave. and 2 Ave.",CDOT,N,FALSE,14 Honey Locusts Park,M,0,0.295,656.2599287,14593.98235
7,"(40.590220757000054, -73.9940820299999)",NYCPARKS,I,S,B280,B280,"S/s Shore Pkwy, 25 Av and Bay 41 St", ,N, ,Nellie Bly Park,B,0,1.056,1193.520762,57145.22979
8,"(40.680060350000076, -73.93160144199993)",NYCPARKS,I,S,B038,B038,Chauncey St. bet. Lewis Ave. and Stuyvesant Ave., ,N, ,Fulton Park,B,2,1.987,1751.541608,87166.82989
9,"(40.67658189000008, -73.95277740499995)",NYCPARKS,I,S,B041,B041,"Bedford Av, Bergen St", ,N, ,Grant Gore,B,0,0.019,190.7873145,735.7470256
10,"(40.63376064700009, -74.0155648139999)",NYCPARKS,I,S,B210O,B210O,"N/s Gowanus Pkwy, 65 & 66 Sts", ,N, ,Park,B,0,0.006,548.3835888,286.2610013
11,"(40.79175360000005, -73.94547037899991)",NYCPARKS,I,S,M148,M148,E. 105 St. To E. 106 St. between Lexington Ave. and 3 Ave.,DPR,N,TRUE,White Playground,M,0,0.684,758.7734555,29961.28261
12,"(40.761079263000056, -73.9927469029999)",NYCPARKS,I,S,M154,M154,W. 45 St. Between 9 Ave. and 10 Ave.,DPR,N,FALSE,Matthews - Palmer Playground,M,1,0.475,622.7959501,21049.72817
13,"(40.81015473100007, -73.94033555899995)",NYCPARKS,I,S,M155,M155,"5 Ave., W. 130 St. To .W 131 St.",DPR,N,FALSE,Courtney Callender Playground,M,2,0.653,734.6189431,29998.96857
14,"(40.808413786000074, -73.85834953099993)",NYCPARKS,I,S,X118A,X118A,Bronx River Ave. bet. C St. and Cornell Ave.,DPR,Y, ,Harding Park Beautification Project,X,0,1.16,1460.733151,47504.32213
15,"(40.83805812700007, -73.93869677399994)",NYCPARKS,I,S,M156,M156,"W. 165 St., Amsterdam Ave. To Audubon Ave.",DPR/CDOT,N,TRUE,Mckenna Square,M,0,0.24,742.2706675,15018.27166
16,"(40.58665370700004, -73.99176843899994)",NYCPARKS,I,S,B125,B125,"Gravesend Bay, Bay 44 St. to Bay 49 St., Shore Pkwy.",DPR,Y,Part,Calvert Vaux Park,B,0,85.527,11281.24521,3551675.092
