OBJECTID,Shape,NAME,TEL,URL,ADRESS1,ADDRESS2,CITY,ZIP
1,"(40.703816550000056, -74.01375579499995)",Alexander Hamilton U.S. Custom House,(212) 514-3700,http://www.oldnycustomhouse.gov/,1 Bowling Grn, ,New York,10004
2,"(40.615121171000055, -74.06303178799993)",Alice Austen House Museum,(718) 816-4506,http://www.aliceausten.org/,2 Hylan Blvd, ,Staten Island,10305
3,"(40.83385383400008, -73.94729768499991)",American Academy of Arts and Letters,(212) 368-5900,http://www.artsandletters.org/,633 W. 155th St., ,New York,10032
4,"(40.76162530600004, -73.97810302099992)",American Folk Art Museum,(212) 265-1040,http://www.folkartmuseum.org/,45 West 53rd Street, ,New York,10019
5,"(40.69905659600005, -74.03968483799991)",American Immigration History Center,(212) 363-3200,http://www.ellisisland.org/,Ellis Island, ,New York,0
6,"(40.78082656700008, -73.97364816499993)",American Museum of Natural History,(212) 769-5100,http://www.amnh.org/,Central Park West at 79th Street, ,New York,10024
7,"(40.723526925000044, -74.00701187899995)",American Numismatic Society,(212) 571-4470,http://www.numismatics.org/,75 Varick St, 11th Floor,New York,10013
8,"(40.76882456300007, -73.96597045099992)",Americas Society,(212) 249-8950,http://as.americas-society.org/,680 Park Ave., ,New York,10021
9,"(40.72112778300004, -73.99963036799994)",Anne Frank Center USA,(212) 431-7993,http://www.annefrank.com/,38 Crosby Street, 5th Floor,New York,10012
10,"(40.769834116000084, -73.9642839569999)",Asia Society,(212) 288-6400,http://www.asiasociety.org/,725 Park Avenue, ,New York,10021
11,"(40.83358261600006, -73.94654590499994)",Audubon Terrace, ,http://www.washington-heights.us/history/archives/audubon_terrace_museum_group_102.html,Broadway at 155 Street, ,New York,10032
12,"(40.87177865100006, -73.80557949899992)",Bartow-Pell Mansion,(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,895 Shore Road, Pelham Bay Park,Bronx,10464
13,"(40.76288666600004, -73.82489046299992)",Bowne House,(718) 359-0528,http://www.bownehouse.org/,37-01 Bowne Street, ,Queens,11354
14,"(40.87823677400007, -73.8797487409999)",Bronx Historical Society & Musem,(718) 881-8900,http://www.bronxhistoricalsociety.org/,3309 Bainbridge Ave, ,Bronx,10467
15,"(40.831030113000054, -73.91975017699991)",Bronx Museum of the Arts (BXMA),(718) 681-6000,http://www.bronxmuseum.org/,1040 Grand Concourse, ,Bronx,10456
16,"(40.67450733000004, -73.94401601399994)",Brooklyn Children's Museum,(718) 735-4400,http://www.brooklynkids.org/,145 Brooklyn Avenue, ,Brooklyn,11213
17,"(40.694803308000076, -73.99240540399995)",Brooklyn Historical Society,(718) 222-4111,http://www.brooklynhistory.org/default/index.html,128 Pierrepont Street, ,Brooklyn,11201
18,"(40.671083545000045, -73.96358506799993)",Brooklyn Museum,(718) 638-5000,http://www.brooklynmuseum.org/,200 Eastern Parkway, ,Brooklyn,11238
36,"(40.61516555800006, -74.07387774199992)",Garibaldi-Meucci Museum,(718) 442-1608,http://statenislandusa.com/pages/garibaldi.html,420 Tompkins Avenue, ,Staten Island,10305
37,"(40.77916597400008, -73.96174203899994)",Goethe-Institut New York,(212) 439-8700,http://www.goethe.de/ins/us/ney/deindex.htm,1014 Fifth Avenue, ,New York,10028
38,"(40.776113783000085, -73.94306846199993)",Gracie Mansion,(212)-570-4751,http://www.nyc.gov/html/om/html/gracie.html,89th Street at East End Avenue,Carl Schurz Park,New York,10128
39,"(40.858747503000075, -73.91397962899993)",Hall Of Fame For Great Americans,(718) 289-5161,http://www.bcc.cuny.edu/hallofFame/,Hall of Fame Terrace & Sedgwick Avenue, ,Bronx,10453
40,"(40.60900900100006, -74.0323107769999)",Harbor Defense Museum of Fort Hamilton,(718) 630-4349,http://www.harbordefensemuseum.com/,230 Sheridan Loop, ,Brooklyn,11252
41,"(40.83345248000006, -73.94682282199994)",Hispanic Society of America Museum,(212) 926-2234,http://www.hispanicsociety.org/,613 West 155th Street, ,New York,10032
42,"(40.87835819800006, -73.89098784299995)",Holocaust Museum & Studies Center,(718) 817-7700,http://www.holocauststudies.org/,75 W 205th St, ,Bronx,10468
43,"(40.67557226800005, -74.01808694199991)",Hudson Waterfront Museum and Showboat Barge,(718) 624-4719,http://www.waterfrontmuseum.org/,290 Conover St., ,Brooklyn,11231
44,"(40.756021485000076, -73.98383672499995)",International Center of Photography,(212) 857-0000,http://www.icp.org/,1133 Avenue Of The Americas, ,New York,10036
45,"(40.76478360700008, -74.00089180499992)",Intrepid Sea-Air-Space Museum,(212) 245-0072,http://www.intrepidmuseum.org/,Pier 86 12th Ave. & 46th Street, ,New York,10036
46,"(40.76695694500006, -73.93765514499995)",Isamu Noguchi Garden Museum,(718) 204-7088,http://www.noguchi.org/,32-37 Vernon Boulevard, ,Long Island City,11106
